ダウンロードした時刻：2026/07/07 21:46:20

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報
1983/12,7.1,8,1,,1,17.3,8,1983/12/3,8,1,,0,-0.6,8,1983/12/28,8,1,,0
1984/1,3.7,8,1,,1,14.6,8,1984/1/15,8,1,,0,-2.5,8,1984/1/21,8,1,,0
1984/2,3.0,8,1,,1,12.8,8,1984/2/2,8,1,,0,-3.5,8,1984/2/9,8,1,,0
1984/3,5.9,8,1,,1,19.1,8,1984/3/30,8,1,,0,-1.5,8,1984/3/1,8,1,,0
1984/4,11.6,8,1,,1,24.0,8,1984/4/18,8,1,,0,1.8,8,1984/4/1,8,1,,0
1984/5,17.2,8,1,,1,27.7,8,1984/5/9,8,1,,0,9.3,8,1984/5/15,8,1,,0
1984/6,21.8,8,1,,1,31.5,8,1984/6/19,8,1,,0,16.5,8,1984/6/4,8,1,,0
1984/7,26.2,8,1,,1,33.6,8,1984/7/5,8,1,,0,17.5,8,1984/7/1,8,1,,0
1984/8,28.6,8,1,,1,35.0,8,1984/8/7,8,1,,0,21.8,8,1984/8/25,8,1,,0
1984/9,23.5,8,1,,1,38.1,8,1984/9/3,8,1,,0,15.7,8,1984/9/27,8,1,,0
1984/10,17.7,8,1,,1,30.4,8,1984/10/3,8,1,,0,7.7,8,1984/10/31,8,1,,0
1984/11,12.2,8,1,,1,22.7,8,1984/11/9,8,1,,0,3.7,8,1984/11/30,8,1,,0
1984/12,7.7,8,1,,1,19.8,8,1984/12/5,8,1,,0,-1.1,8,1984/12/25,8,1,,0
1985/1,4.1,8,1,,1,13.5,8,1985/1/16,8,1,,0,-2.5,8,1985/1/30,8,1,,0
1985/2,6.5,8,1,,1,14.7,8,1985/2/10,8,1,,0,-1.3,8,1985/2/1,8,1,,0
1985/3,7.8,8,1,,1,20.3,8,1985/3/26,8,1,,0,1.3,8,1985/3/12,8,1,,0
1985/4,14.2,8,1,,1,23.7,8,1985/4/24,8,1,,0,3.3,8,1985/4/1,8,1,,0
1985/5,19.1,8,1,,1,26.5,8,1985/5/15,8,1,,0,12.2,8,1985/5/7,8,1,,0
1985/6,20.2,8,1,,1,30.1,8,1985/6/6,8,1,,0,13.2,8,1985/6/15,8,1,,0
1985/7,26.3,8,1,,1,34.3,8,1985/7/30,8,1,,0,19.7,8,1985/7/3,8,1,,0
1985/8,27.9,8,1,,1,33.9,8,1985/8/18,8,1,,0,22.6,8,1985/8/24,8,1,,0
1985/9,23.1,8,1,,1,35.0,8,1985/9/2,8,1,,0,14.5,8,1985/9/24,8,1,,0
1985/10,17.9,8,1,,1,29.0,8,1985/10/13,8,1,,0,10.0,8,1985/10/28,8,1,,0
1985/11,13.3,8,1,,1,24.5,8,1985/11/8,8,1,,0,3.6,8,1985/11/30,8,1,,0
1985/12,7.4,8,1,,1,18.8,8,1985/12/30,8,1,,0,-0.5,8,1985/12/18,8,1,,0
1986/1,4.5,8,1,,1,11.8,8,1986/1/18,8,1,,0,-1.3,8,1986/1/11,8,1,,0
1986/2,4.3,8,1,,1,14.5,8,1986/2/3,8,1,,0,-1.6,8,1986/2/9,8,1,,0
1986/3,7.8,8,1,,1,18.1,8,1986/3/9,8,1,,0,0.0,8,1986/3/4,8,1,,0
1986/4,13.9,8,1,,1,23.0,8,1986/4/23,8,1,,0,4.6,8,1986/4/8,8,1,,0
1986/5,17.9,8,1,,1,26.9,8,1986/5/31,8,1,,0,11.2,8,1986/5/22,8,1,,0
1986/6,21.1,8,1,,1,31.5,8,1986/6/26,8,1,,0,13.8,8,1986/6/6,8,1,,0
1986/7,23.9,8,1,,1,33.4,8,1986/7/29,8,1,,0,16.7,8,1986/7/3,8,1,,0
1986/8,26.8,8,1,,1,34.6,8,1986/8/5,8,1,,0,19.6,8,1986/8/4,8,1,,0
1986/9,23.7,8,1,,1,34.5,8,1986/9/4,8,1,,0,15.8,8,1986/9/28,8,1,,0
1986/10,17.1,8,1,,1,26.6,8,1986/10/3,8,1,,0,8.0,8,1986/10/20,8,1,,0
1986/11,12.3,8,1,,1,21.7,8,1986/11/4,8,1,,0,5.0,8,1986/11/27,8,1,,0
